modelo;n;total_km;media_m;mediana_m;desv_m;p10_m;p90_m;max_m;azimut_medio;R;desv_circular;rayleigh_p;densidad_km_km2;frecuencia_n_km2;exp_ley_potencia;r2_ley_potencia;cruces;cruces_por_lin;pct_long_alta;pct_long_media;pct_long_baja;pct_long_drenaje
consenso;178;24.318;136.6;122.1;56.0;102.4;181.3;732.1;63.9;0.301;44.4;1.2059432135002542e-06;1.73;12.66;3.551;0.891;6;0.07;37.3;57.3;5.4;29.9
valles;88;12.57;142.8;128.2;51.3;104.9;195.0;451.6;64.4;0.463;35.6;4.04496156140262e-09;0.894;6.26;3.46;0.975;;;39.1;57.5;3.4;52.0
crestas;125;17.118;136.9;123.7;39.8;104.3;176.9;375.7;77.8;0.23;49.1;0.00033448196686928654;1.217;8.89;4.151;0.976;;;32.1;63.5;4.4;0.0
escarpes;186;25.483;137.0;126.3;34.5;104.0;180.5;298.8;62.3;0.261;46.9;5.830280652911941e-05;1.812;13.23;5.055;0.983;;;37.1;50.8;12.1;0.4
bordes;348;47.417;136.3;123.2;46.3;104.3;179.3;763.8;64.2;0.265;46.7;1.930128714149732e-09;3.372;24.75;4.31;0.911;;;35.3;57.6;7.1;21.9
pci_line;2015;117.763;58.4;45.3;43.6;32.4;101.7;917.0;91.6;0.593;29.3;3.61032557e-316;8.376;143.31;2.4;0.977;;;;;;
pci_multi;10644;352.242;33.1;31.2;18.0;14.0;54.5;235.4;26.2;0.049;70.3;5.213578001378651e-10;25.052;757.03;3.448;0.98;;;0.0;2.0;98.0;
